CAS.No,Parameter,Results,Units,LOQ,Dilution,Matrix,Lab,Street,Client_ID,Collection_date,Analysis_date,Project_ID
142-28-9,"* 1,3-Dichloropropane",ND,ug/m3,0.74,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
106-46-7,"1,4-Dichlorobenzene",ND,ug/m3,0.96,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
123-91-1,"1,4-Dioxane",ND,ug/m3,1.2,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
78-93-3,2-Butanone,1600,ug/m3,4.7,16.02,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
591-78-6,* 2-Hexanone,170,ug/m3,1.3,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
107-05-1,3-Chloropropene,ND,ug/m3,2.5,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
108-10-1,4-Methyl-2-pentanone,ND,ug/m3,0.66,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
67-64-1,Acetone,280,ug/m3,7.6,16.02,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
107-13-1,Acrylonitrile,ND,ug/m3,0.35,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
71-43-2,Benzene,3,ug/m3,0.51,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
100-44-7,Benzyl chloride,ND,ug/m3,0.83,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
75-27-4,Bromodichloromethane,ND,ug/m3,1.1,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
75-25-2,Bromoform,ND,ug/m3,1.7,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
74-83-9,Bromomethane,ND,ug/m3,0.62,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
75-15-0,Carbon disulfide,3.1,ug/m3,0.5,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
56-23-5,Carbon tetrachloride,0.5,ug/m3,0.25,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
108-90-7,Chlorobenzene,ND,ug/m3,0.74,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
75-00-3,Chloroethane,ND,ug/m3,0.42,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
67-66-3,Chloroform,5,ug/m3,0.78,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
74-87-3,Chloromethane,ND,ug/m3,0.33,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
156-59-2,"cis-1,2-Dichloroethylene",ND,ug/m3,0.16,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
10061-01-5,"cis-1,3-Dichloropropylene",ND,ug/m3,0.73,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
110-82-7,Cyclohexane,0.83,ug/m3,0.55,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
124-48-1,Dibromochloromethane,ND,ug/m3,1.4,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
75-71-8,Dichlorodifluoromethane,2.5,ug/m3,0.79,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
141-78-6,* Ethyl acetate,ND,ug/m3,1.2,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
100-41-4,Ethyl Benzene,12,ug/m3,0.7,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
87-68-3,Hexachlorobutadiene,ND,ug/m3,1.7,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
67-63-0,Jsopropanol,2.5,ug/m3,0.79,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
80-62-6,Methyl Methacrylate,ND,ug/m3,0.66,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
1634-04-4,Methyl tert-butyl ether (MTBE),ND,ug/m3,0.58,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
64164,Methylene chloride,1.7,ug/m3,1.1,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
142-82-5,n-Heptane,6,ug/m3,0.66,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
110-54-3,n-Hexane,7.3,ug/m3,0.56,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
95-47-6,o-Xylene,19,ug/m3,0.7,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
179601-23-1,p- & m- Xylenes,54,ug/m3,1.4,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
622-96-8,* p-Ethyltoluene,47,ug/m3,0.79,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
115-07-1,* Propylene,100,ug/m3,0.28,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
100-42-5,Styrene,ND,ug/m3,0.68,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
127-18-4,Tetrachloroethylene,3.3,ug/m3,0.27,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
109-99-9,* Tetrahydrofuran,ND,ug/m3,0.94,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
108-88-3,Toluene,14,ug/m3,0.6,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
156-60-5,"trans-1,2-Dichloroethylene",ND,ug/m3,0.64,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
10061-02-6,"trans-1,3-Dichloropropylene",ND,ug/m3,0.73,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
65386,Trichloroethylene,ND,ug/m3,0.22,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
75-69-4,Trichlorofluoromethane (Freon 11),2.2999999999999998,ug/m3,0.9,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
108-05-4,Vinyl acetate,ND,ug/m3,0.56,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
593-60-2,Vinyl bromide,ND,ug/m3,0.7,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
75-01-4,Vinyl Chloride,ND,ug/m3,0.1,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
630-20-6,"* 1,1,1,2-Tetrachloroethane",ND,ug/m3,1.2,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
71-55-6,"1,1,1-Trichloroethane",ND,ug/m3,0.97,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
79-34-5,"1,1,2,2-Tetrachloroethane",ND,ug/m3,1.2,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
76-13-1,"1,1,2-Trichloro-1,2,2-trifluoroethane (Freon 113)",ND,ug/m3,1.4,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
79-00-5,"1,1,2-Trichloroethane",ND,ug/m3,0.97,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
75-34-3,"1,1-Dichloroethane",ND,ug/m3,0.72,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
75-35-4,"1,1-Dichloroethylene",ND,ug/m3,0.18,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
120-82-1,"1,2,4-Trichlorobenzene",ND,ug/m3,1.3,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
95-63-6,"1,2,4-Trimethylbenzene",96,ug/m3,0.87,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
106-93-4,"1,2-Dibromoethane",ND,ug/m3,1.4,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
95-50-1,"1,2-Dichlorobenzene",ND,ug/m3,1.1,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
107-06-2,"1,2-Dichloroethane",ND,ug/m3,0.72,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
78-87-5,"1,2-Dichloropropane",ND,ug/m3,0.82,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
76-14-2,"1,2-Dichlorotetrafluoroethane",ND,ug/m3,1.2,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
108-67-8,"1,3,5-Trimethylbenzene",20,ug/m3,0.87,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
106-99-0,"1,3-Butadiene",ND,ug/m3,1.2,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
541-73-1,"1,3-Dichlorobenzene",ND,ug/m3,1.1,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
142-28-9,"* 1,3-Dichloropropane",ND,ug/m3,0.82,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
106-46-7,"1,4-Dichlorobenzene",ND,ug/m3,1.1,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
123-91-1,"1,4-Dioxane",ND,ug/m3,1.3,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
78-93-3,2-Butanone,1900,ug/m3,5.2,17.71,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
591-78-6,* 2-Hexanone,210,ug/m3,1.5,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
107-05-1,3-Chloropropene,ND,ug/m3,2.8,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
108-10-1,4-Methyl-2-pentanone,2.2000000000000002,ug/m3,0.73,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
67-64-1,Acetone,290,ug/m3,8.4,17.71,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
107-13-1,Acrylonitrile,ND,ug/m3,0.38,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
71-43-2,Benzene,1.8,ug/m3,0.57,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
100-44-7,Benzyl chloride,ND,ug/m3,0.92,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
75-27-4,Bromodichloromethane,ND,NA,1.2,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
75-25-2,Bromoform,ND,NA,1.8,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
74-83-9,Bromomethane,ND,ug/m3,0.69,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
75-15-0,Carbon disulfide,7.6,ug/m3,0.55,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
56-23-5,Carbon tetrachloride,0.78,ug/m3,0.28,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
108-90-7,Chlorobenzene,ND,ug/m3,0.82,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
75-00-3,Chloroethane,ND,ug/m3,0.47,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
67-66-3,Chloroform,1.9,ug/m3,0.86,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
74-87-3,Chloromethane,ND,ug/m3,0.37,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
156-59-2,"cis-1,2-Dichloroethylene",ND,ug/m3,0.18,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
10061-01-5,"cis-1,3-Dichloropropylene",ND,ug/m3,0.8,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
110-82-7,Cyclohexane,0.73,ug/m3,0.61,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
124-48-1,Dibromochloromethane,ND,ug/m3,1.5,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
75-71-8,Dichlorodifluoromethane,2.1,ug/m3,0.88,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
141-78-6,* Ethyl acetate,ND,ug/m3,1.3,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
100-41-4,Ethyl Benzene,18,ug/m3,0.77,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
87-68-3,Hexachlorobutadiene,ND,ug/m3,1.9,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
67-63-0,Jsopropanol,1.5,ug/m3,0.87,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
80-62-6,Methyl Methacrylate,ND,ug/m3,0.73,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
1634-04-4,Methyl tert-butyl ether (MTBE),ND,ug/m3,0.64,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
64164,Methylene chloride,ND,ug/m3,1.2,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
142-82-5,n-Heptane,ND,ug/m3,0.73,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
110-54-3,n-Hexane,8.4,ug/m3,0.62,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
95-47-6,o-Xylene,30,ug/m3,0.77,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
179601-23-1,p- & m- Xylenes,79,ug/m3,1.5,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
622-96-8,* p-Ethyltoluene,75,ug/m3,0.87,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
115-07-1,* Propylene,110,ug/m3,0.3,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
100-42-5,Styrene,ND,ug/m3,0.75,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
127-18-4,Tetrachloroethylene,3.2,ug/m3,0.3,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
109-99-9,* Tetrahydrofuran,ND,ug/m3,1,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
108-88-3,Toluene,17,ug/m3,0.67,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
156-60-5,"trans-1,2-Dichloroethylene",ND,ug/m3,0.7,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
10061-02-6,"trans-1,3-Dichloropropylene",ND,ug/m3,0.8,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
65386,Trichloroethylene,ND,ug/m3,0.24,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
75-69-4,Trichlorofluoromethane (Freon 11),1.9,ug/m3,1,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
108-05-4,Vinyl acetate,ND,ug/m3,0.62,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
593-60-2,Vinyl bromide,ND,ug/m3,0.77,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
63923,Vinyl Chloride,ND,ug/m3,0.11,1.771,SV,York,153 Green Street,SV-2,05/24/2018,06/06/2018,19CVCP011K
630-20-6,"* 1,1,1,2-Tetrachloroethane",ND,ug/m3,1.3,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
71-55-6,"1,1,1-Trichloroethane",ND,ug/m3,1.1,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
79-34-5,"1,1,2,2-Tetrachloroethane",ND,ug/m3,1.3,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
76-13-1,"1,1,2-Trichloro-1,2,2-trifluoroethane (Freon 113)",ND,ug/m3,1.5,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
79-00-5,"1,1,2-Trichloroethane",ND,ug/m3,1.1,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
75-34-3,"1,1-Dichloroethane",ND,ug/m3,0.79,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
75-35-4,"1,1-Dichloroethylene",ND,ug/m3,0.19,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
120-82-1,"1,2,4-Trichlorobenzene",ND,ug/m3,1.4,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
95-63-6,"1,2,4-Trimethylbenzene",68,ug/m3,0.95,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
106-93-4,"1,2-Dibromoethane",ND,ug/m3,1.5,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
95-50-1,"1,2-Dichlorobenzene",ND,ug/m3,1.2,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
107-06-2,"1,2-Dichloroethane",ND,ug/m3,0.79,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
78-87-5,"1,2-Dichloropropane",ND,ug/m3,0.9,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
76-14-2,"1,2-Dichlorotetrafluoroethane",ND,ug/m3,1.4,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
108-67-8,"1,3,5-Trimethylbenzene",15,ug/m3,0.95,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
106-99-0,"1,3-Butadiene",ND,ug/m3,1.3,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
541-73-1,"1,3-Dichlorobenzene",ND,ug/m3,1.2,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
142-28-9,"* 1,3-Dichloropropane",ND,ug/m3,0.9,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
106-46-7,"1,4-Dichlorobenzene",ND,ug/m3,1.2,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
123-91-1,"1,4-Dioxane",ND,ug/m3,1.4,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
78-93-3,2-Butanone,1900,ug/m3,5.7,19.42,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
591-78-6,* 2-Hexanone,200,ug/m3,1.6,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
107-05-1,3-Chloropropene,ND,ug/m3,3,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
108-10-1,4-Methyl-2-pentanone,4.9000000000000004,ug/m3,0.8,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
67-64-1,Acetone,270,ug/m3,9.2,19.42,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
107-13-1,Acrylonitrile,ND,ug/m3,0.42,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
71-43-2,Benzene,1.6,ug/m3,0.62,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
100-44-7,Benzyl chloride,ND,ug/m3,NA,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
75-27-4,Bromodichloromethane,ND,ug/m3,1.3,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
75-25-2,Bromoform,ND,ug/m3,2,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
74-83-9,Bromomethane,ND,ug/m3,0.75,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
75-15-0,Carbon disulfide,5.3,ug/m3,0.6,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
56-23-5,Carbon tetrachloride,0.49,ug/m3,0.31,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
108-90-7,Chlorobenzene,ND,ug/m3,0.89,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
75-00-3,Chloroethane,ND,ug/m3,0.51,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
67-66-3,Chloroform,2.5,ug/m3,0.95,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
74-87-3,Chloromethane,ND,ug/m3,0.4,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
156-59-2,"cis-1,2-Dichloroethylene",ND,ug/m3,0.19,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
10061-01-5,"cis-1,3-Dichloropropylene",ND,ug/m3,0.88,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
110-82-7,Cyclohexane,ND,ug/m3,0.67,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
124-48-1,Dibromochloromethane,ND,ug/m3,1.7,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
75-71-8,Dichlorodifluoromethane,2.2999999999999998,ug/m3,0.96,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
141-78-6,* Ethyl acetate,2.1,ug/m3,1.4,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
100-41-4,Ethyl Benzene,14,ug/m3,0.84,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
87-68-3,Hexachlorobutadiene,ND,ug/m3,2.1,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
67-63-0,Tsopropanol,ND,ug/m3,0.95,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
80-62-6,Methyl Methacrylate,ND,ug/m3,0.8,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
1634-04-4,Methyl tert-butyl ether (MTBE),ND,ug/m3,0.7,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
64164,Methylene chloride,4.9000000000000004,ug/m3,1.3,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
142-82-5,n-Heptane,6.4,ug/m3,0.8,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
110-54-3,n-Hexane,7.9,ug/m3,0.68,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
95-47-6,o-Xylene,22,ug/m3,0.84,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
179601-23-1,p- & m- Xylenes,62,ug/m3,1.7,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
622-96-8,* p-Ethyltoluene,54,ug/m3,0.95,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
115-07-1,* Propylene,110,ug/m3,0.33,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
100-42-5,Styrene,ND,ug/m3,0.83,1.942,SV,York,153 Green Street,SV-3,05/24/2018,06/06/2018,19CVCP011K
