street_address,laboratory,lab_data_availability,sample_id,collection_date,analysis_date,parameter,ppbv_results,ppbv_rl,ppbv_mdl,ug_m3_results,ug_m3_rl,ug_m3_mdl,dilution
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,"1,3-Dichloropropene, Total",0.021,0.02,--,0.095,0.091,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,Carbon disulfide,1.2,0.2,--,3.74,0.623,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,"1,1,2-Trichloro-1,2,2-Trifluoroethane",0.067,0.05,--,0.514,0.383,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,"trans-1,2-Dichloroethene",ND,0.02,--,ND,0.079,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,"1,1-Dichloroethane",0.046,0.02,--,0.186,0.081,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,Methyl tert butyl ether,ND,0.2,--,ND,0.721,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,2-Butanone,5.19,0.5,--,15.3,1.47,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,"cis-1,2-Dichloroethene",ND,0.02,--,ND,0.079,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,Ethyl Acetate,0.986,0.5,--,3.55,1.8,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,Chloroform,4.23,0.02,--,20.7,0.098,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,Tetrahydrofuran,1.14,0.5,--,3.36,1.47,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,"1,2-Dichloroethane",0.033,0.02,--,0.134,0.081,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,n-Hexane,1.35,0.2,--,4.76,0.705,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,"1,1,1-Trichloroethane",0.066,0.02,--,0.36,0.109,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,Benzene,1.77,0.1,--,5.65,0.319,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,Carbon tetrachloride,0.203,0.02,--,1.28,0.126,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,Cyclohexane,0.339,0.2,--,1.17,0.688,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,"1,2-Dichloropropane",ND,0.02,--,ND,0.092,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,Bromodichloromethane,ND,0.02,--,ND,0.134,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,"1,4-Dioxane",ND,0.1,--,ND,0.36,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,Trichloroethene,2.21,0.02,--,11.9,0.107,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,"2,2,4-Trimethylpentane",0.915,0.2,--,4.27,0.934,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,Heptane,0.752,0.2,--,3.08,0.82,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,"cis-1,3-Dichloropropene",ND,0.02,--,ND,0.091,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,4-Methyl-2-pentanone,ND,0.5,--,ND,2.05,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,"trans-1,3-Dichloropropene",0.021,0.02,--,0.095,0.091,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,"1,1,2-Trichloroethane",ND,0.02,--,ND,0.109,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,Toluene,2.05,0.05,--,7.73,0.188,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,2-Hexanone,0.679,0.2,--,2.78,0.82,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,Dibromochloromethane,ND,0.02,--,ND,0.17,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,"1,2-Dibromoethane",ND,0.02,--,ND,0.154,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,Tetrachloroethene,0.454,0.02,--,3.08,0.136,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,Chlorobenzene,ND,0.1,--,ND,0.461,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,Ethylbenzene,0.446,0.02,--,1.94,0.087,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,p/m-Xylene,1.54,0.04,--,6.69,0.174,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,Bromoform,ND,0.02,--,ND,0.207,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,Xylene (Total),2.24,0.02,--,9.73,0.087,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,Styrene,0.156,0.02,--,0.664,0.085,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,"1,1,2,2-Tetrachloroethane",ND,0.02,--,ND,0.137,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,o-Xylene,0.705,0.02,--,3.06,0.087,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,4-Ethyltoluene,0.194,0.02,--,0.954,0.098,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,"1,3,5-Trimethylbenzene",0.233,0.02,--,1.15,0.098,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,"1,2,4-Trimethylbenzene",0.896,0.02,--,4.4,0.098,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,Benzyl chloride,ND,0.2,--,ND,1.04,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,"1,3-Dichlorobenzene",0.029,0.02,--,0.174,0.12,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,"1,4-Dichlorobenzene",0.089,0.02,--,0.535,0.12,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,"1,2-Dichlorobenzene",0.039,0.02,--,0.234,0.12,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,"1,2,4-Trichlorobenzene",0.059,0.05,--,0.438,0.371,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,Hexachlorobutadiene,ND,0.05,--,ND,0.533,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,Dichlorodifluoromethane,0.267,0.2,--,1.32,0.989,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,Chloromethane,0.213,0.2,--,0.44,0.413,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,"1,2-Dichloro-1,1,2,2-tetrafluoroethane",ND,0.05,--,ND,0.349,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,Vinyl chloride,ND,0.02,--,ND,0.051,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,"1,3-Butadiene",ND,0.02,--,ND,0.044,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,Bromomethane,ND,0.02,--,ND,0.078,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,Chloroethane,ND,0.1,--,ND,0.264,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,Ethyl Alcohol,51,5,--,96.1,9.42,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,Vinyl bromide,ND,0.2,--,ND,0.874,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,Acetone,364,1,--,865,2.38,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,Trichlorofluoromethane,0.23,0.05,--,1.29,0.281,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,iso-Propyl Alcohol,8.32,0.5,--,20.5,1.23,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,"1,1-Dichloroethene",ND,0.02,--,ND,0.079,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,tert-Butyl Alcohol,3.71,0.5,--,11.2,1.52,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,Methylene chloride,ND,0.5,--,ND,1.74,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,"1,2-Dichloroethene (total)",ND,0.02,--,ND,0.079,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,3-Chloropropene,ND,0.2,--,ND,0.626,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,Carbon disulfide,0.256,0.2,--,0.797,0.623,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,"1,3-Dichloropropene, Total",ND,0.02,--,ND,0.091,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,"1,1,2-Trichloro-1,2,2-Trifluoroethane",0.064,0.05,--,0.491,0.383,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,"trans-1,2-Dichloroethene",ND,0.02,--,ND,0.079,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,"1,1-Dichloroethane",ND,0.02,--,ND,0.081,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,Methyl tert butyl ether,ND,0.2,--,ND,0.721,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,2-Butanone,6.2,0.5,--,18.3,1.47,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,"cis-1,2-Dichloroethene",ND,0.02,--,ND,0.079,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,Ethyl Acetate,ND,0.5,--,ND,1.8,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,Chloroform,0.151,0.02,--,0.737,0.098,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,Tetrahydrofuran,1.17,0.5,--,3.45,1.47,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,"1,2-Dichloroethane",ND,0.02,--,ND,0.081,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,n-Hexane,0.895,0.2,--,3.15,0.705,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,"1,1,1-Trichloroethane",ND,0.02,--,ND,0.109,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,Benzene,1.42,0.1,--,4.54,0.319,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,Carbon tetrachloride,0.078,0.02,--,0.491,0.126,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,Cyclohexane,0.37,0.2,--,1.27,0.688,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,"1,2-Dichloropropane",ND,0.02,--,ND,0.092,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,Bromodichloromethane,ND,0.02,--,ND,0.134,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,"1,4-Dioxane",ND,0.1,--,ND,0.36,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,Trichloroethene,0.462,0.02,--,2.48,0.107,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,"2,2,4-Trimethylpentane",0.908,0.2,--,4.24,0.934,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,Heptane,0.816,0.2,--,3.34,0.82,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,"cis-1,3-Dichloropropene",ND,0.02,--,ND,0.091,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,4-Methyl-2-pentanone,ND,0.5,--,ND,2.05,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,"trans-1,3-Dichloropropene",ND,0.02,--,ND,0.091,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,"1,1,2-Trichloroethane",ND,0.02,--,ND,0.109,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,Toluene,2.31,0.05,--,8.71,0.188,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,2-Hexanone,0.348,0.2,--,1.43,0.82,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,Dibromochloromethane,ND,0.02,--,ND,0.17,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,"1,2-Dibromoethane",ND,0.02,--,ND,0.154,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,Tetrachloroethene,0.056,0.02,--,0.38,0.136,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,Chlorobenzene,ND,0.1,--,ND,0.461,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,Ethylbenzene,0.438,0.02,--,1.9,0.087,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,p/m-Xylene,1.56,0.04,--,6.78,0.174,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,Bromoform,ND,0.02,--,ND,0.207,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,Xylene (Total),2.24,0.02,--,9.73,0.087,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,Styrene,0.14,0.02,--,0.596,0.085,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,"1,1,2,2-Tetrachloroethane",ND,0.02,--,ND,0.137,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,o-Xylene,0.686,0.02,--,2.98,0.087,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,4-Ethyltoluene,0.202,0.02,--,0.993,0.098,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,"1,3,5-Trimethylbenzene",0.228,0.02,--,1.12,0.098,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,"1,2,4-Trimethylbenzene",0.881,0.02,--,4.33,0.098,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,Benzyl chloride,ND,0.2,--,ND,1.04,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,"1,3-Dichlorobenzene",ND,0.02,--,ND,0.12,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,"1,4-Dichlorobenzene",0.061,0.02,--,0.367,0.12,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,"1,2-Dichlorobenzene",0.027,0.02,--,0.162,0.12,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,"1,2,4-Trichlorobenzene",ND,0.05,--,ND,0.371,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-02,2019-05-31,2019-06-05,Hexachlorobutadiene,ND,0.05,--,ND,0.533,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,Dichlorodifluoromethane,ND,0.667,--,ND,3.3,--,3.333
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,Chloromethane,1.37,0.667,--,2.83,1.38,--,3.333
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,"1,2-Dichloro-1,1,2,2-tetrafluoroethane",ND,0.167,--,ND,1.17,--,3.333
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,Vinyl chloride,0.143,0.067,--,0.366,0.171,--,3.333
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,"1,3-Butadiene",ND,0.067,--,ND,0.148,--,3.333
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,Bromomethane,ND,0.067,--,ND,0.259,--,3.333
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,Chloroethane,ND,0.333,--,ND,0.879,--,3.333
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,Ethyl Alcohol,280,16.7,--,528,31.5,--,3.333
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,Vinyl bromide,ND,0.667,--,ND,2.92,--,3.333
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,Acetone,624,3.33,--,1480,7.91,--,3.333
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,Trichlorofluoromethane,0.24,0.167,--,1.35,0.938,--,3.333
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,iso-Propyl Alcohol,9.85,1.67,--,24.2,4.1,--,3.333
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,"1,1-Dichloroethene",ND,0.067,--,ND,0.264,--,3.333
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,tert-Butyl Alcohol,10.4,1.67,--,31.5,5.06,--,3.333
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,Methylene chloride,ND,1.67,--,ND,5.8,--,3.333
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,"1,2-Dichloroethene (total)",ND,0.067,--,ND,0.264,--,3.333
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,3-Chloropropene,ND,0.667,--,ND,2.09,--,3.333
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,Carbon disulfide,ND,0.667,--,ND,2.08,--,3.333
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,"1,3-Dichloropropene, Total",ND,0.067,--,ND,0.303,--,3.333
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,"1,1,2-Trichloro-1,2,2-Trifluoroethane",ND,0.167,--,ND,1.28,--,3.333
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,"trans-1,2-Dichloroethene",ND,0.067,--,ND,0.264,--,3.333
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,"1,1-Dichloroethane",ND,0.067,--,ND,0.27,--,3.333
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,Methyl tert butyl ether,ND,0.667,--,ND,2.4,--,3.333
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,2-Butanone,15.7,1.67,--,46.3,4.93,--,3.333
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,"cis-1,2-Dichloroethene",ND,0.067,--,ND,0.264,--,3.333
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,Ethyl Acetate,ND,1.67,--,ND,6.02,--,3.333
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,Chloroform,2.05,0.067,--,10,0.326,--,3.333
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,Tetrahydrofuran,ND,1.67,--,ND,4.93,--,3.333
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,"1,2-Dichloroethane",ND,0.067,--,ND,0.27,--,3.333
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,n-Hexane,1,0.667,--,3.52,2.35,--,3.333
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,"1,1,1-Trichloroethane",ND,0.067,--,ND,0.364,--,3.333
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,Benzene,8.04,0.333,--,25.7,1.06,--,3.333
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,Carbon tetrachloride,0.097,0.067,--,0.608,0.42,--,3.333
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,Cyclohexane,ND,0.667,--,ND,2.3,--,3.333
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,"1,2-Dichloropropane",ND,0.067,--,ND,0.308,--,3.333
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,Bromodichloromethane,ND,0.067,--,ND,0.447,--,3.333
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,"1,4-Dioxane",ND,0.333,--,ND,1.2,--,3.333
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,Trichloroethene,0.443,0.067,--,2.38,0.358,--,3.333
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,"2,2,4-Trimethylpentane",0.886,0.667,--,4.14,3.12,--,3.333
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,Heptane,0.803,0.667,--,3.29,2.73,--,3.333
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,"cis-1,3-Dichloropropene",ND,0.067,--,ND,0.303,--,3.333
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,4-Methyl-2-pentanone,ND,1.67,--,ND,6.84,--,3.333
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,"trans-1,3-Dichloropropene",ND,0.067,--,ND,0.303,--,3.333
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,"1,1,2-Trichloroethane",ND,0.067,--,ND,0.364,--,3.333
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,Toluene,2.05,0.167,--,7.73,0.629,--,3.333
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,2-Hexanone,0.846,0.667,--,3.47,2.73,--,3.333
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,Dibromochloromethane,ND,0.067,--,ND,0.568,--,3.333
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,"1,2-Dibromoethane",ND,0.067,--,ND,0.513,--,3.333
63-71 Bridge Street,Alpha Analytical,Yes,SV-03,2019-05-31,2019-06-05,Tetrachloroethene,0.097,0.067,--,0.655,0.452,--,3.333
